,Algorithm,Graph name,K,Time taken,Found result
241,Kernelization,Les Miserables,11,68507600,True
242,Kernelization,Les Miserables,11,71559200,True
243,Kernelization,Les Miserables,11,65044900,True
244,Kernelization,Les Miserables,11,66560000,True
245,Kernelization,Les Miserables,11,63952900,True
246,Kernelization,Les Miserables,11,67214500,True
247,Kernelization,Les Miserables,11,65436700,True
248,Kernelization,Les Miserables,11,74447400,True
249,Kernelization,Les Miserables,11,103474900,True
250,Kernelization,Les Miserables,11,68565000,True
251,Kernelization,Les Miserables,11,74360200,True
252,Kernelization,Les Miserables,11,68685600,True
253,Kernelization,Les Miserables,11,64419200,True
254,Kernelization,Les Miserables,11,72138700,True
255,Kernelization,Les Miserables,11,95631300,True
256,Kernelization,Les Miserables,11,69195300,True
257,Kernelization,Les Miserables,11,65076700,True
258,Kernelization,Les Miserables,11,71326100,True
259,Kernelization,Les Miserables,11,66080400,True
260,Kernelization,Les Miserables,11,67578200,True
261,Kernelization,Les Miserables,11,67088500,True
262,Kernelization,Les Miserables,11,77431600,True
263,Kernelization,Les Miserables,11,65758500,True
264,Kernelization,Les Miserables,11,68051600,True
265,Kernelization,Les Miserables,11,67834400,True
266,Kernelization,Les Miserables,11,68719900,True
267,Kernelization,Les Miserables,11,72651700,True
268,Kernelization,Les Miserables,11,68053700,True
269,Kernelization,Les Miserables,11,65073600,True
270,Kernelization,Les Miserables,11,69638500,True
271,Kernelization,Les Miserables,11,64837000,True
272,Kernelization,Les Miserables,11,70627500,True
273,Kernelization,Les Miserables,11,97727000,True
274,Kernelization,Les Miserables,11,93400800,True
275,Kernelization,Les Miserables,11,104255400,True
276,Kernelization,Les Miserables,11,73864200,True
277,Kernelization,Les Miserables,11,65768800,True
278,Kernelization,Les Miserables,11,73230700,True
279,Kernelization,Les Miserables,11,65267400,True
280,Kernelization,Les Miserables,11,69798000,True
281,Kernelization,Les Miserables,11,66822700,True
282,Kernelization,Les Miserables,11,70343700,True
283,Kernelization,Les Miserables,11,66188300,True
284,Kernelization,Les Miserables,11,68691500,True
285,Kernelization,Les Miserables,11,71617300,True
286,Kernelization,Les Miserables,11,67967500,True
287,Kernelization,Les Miserables,11,65055900,True
288,Kernelization,Les Miserables,11,68940100,True
289,Kernelization,Les Miserables,11,71206700,True
290,Kernelization,Les Miserables,11,66322800,True
291,Kernelization,Les Miserables,11,65525600,True
292,Kernelization,Les Miserables,11,67057200,True
293,Kernelization,Les Miserables,11,66380800,True
294,Kernelization,Les Miserables,11,70214600,True
295,Kernelization,Les Miserables,11,74243100,True
296,Kernelization,Les Miserables,11,69309300,True
297,Kernelization,Les Miserables,11,69591700,True
298,Kernelization,Les Miserables,11,68525900,True
299,Kernelization,Les Miserables,11,69500300,True
