,Algorithm,Graph name,k,Found result,Time (perf)
88,Branching DFS Recursive,Petersen,9,True,2375300
89,Branching DFS Recursive,Petersen,10,True,2325200
90,Branching DFS Recursive,Petersen,1,False,938200
91,Branching DFS Recursive,Petersen,2,False,2353400
92,Branching DFS Recursive,Petersen,3,False,5198300
93,Branching DFS Recursive,Petersen,4,False,9304300
94,Branching DFS Recursive,Petersen,5,False,15121400
95,Branching DFS Recursive,Petersen,6,True,3919900
96,Branching DFS Recursive,Petersen,7,True,1629900
97,Branching DFS Recursive,Petersen,8,True,1136000
98,Branching DFS Recursive,Petersen,9,True,1465300
99,Branching DFS Recursive,Petersen,10,True,1987100
100,Branching DFS Recursive,Petersen,1,False,723100
101,Branching DFS Recursive,Petersen,2,False,1925500
102,Branching DFS Recursive,Petersen,3,False,3846300
103,Branching DFS Recursive,Petersen,4,False,4664000
104,Branching DFS Recursive,Petersen,5,False,10857900
105,Branching DFS Recursive,Petersen,6,True,3563000
106,Branching DFS Recursive,Petersen,7,True,2105800
107,Branching DFS Recursive,Petersen,8,True,1220900
108,Branching DFS Recursive,Petersen,9,True,1268100
109,Branching DFS Recursive,Petersen,10,True,2369400
110,Branching DFS Recursive,Petersen,1,False,909100
111,Branching DFS Recursive,Petersen,2,False,2410300
112,Branching DFS Recursive,Petersen,3,False,5151900
113,Branching DFS Recursive,Petersen,4,False,5986300
114,Branching DFS Recursive,Petersen,5,False,16570900
115,Branching DFS Recursive,Petersen,6,True,4924200
116,Branching DFS Recursive,Petersen,7,True,1019600
117,Branching DFS Recursive,Petersen,8,True,1201000
118,Branching DFS Recursive,Petersen,9,True,863100
119,Branching DFS Recursive,Petersen,10,True,960700
120,Branching DFS Recursive,Petersen,1,False,624800
121,Branching DFS Recursive,Petersen,2,False,1964300
122,Branching DFS Recursive,Petersen,3,False,4004000
123,Branching DFS Recursive,Petersen,4,False,6395800
124,Branching DFS Recursive,Petersen,5,False,16569900
125,Branching DFS Recursive,Petersen,6,True,7548700
126,Branching DFS Recursive,Petersen,7,True,2643700
127,Branching DFS Recursive,Petersen,8,True,1147400
128,Branching DFS Recursive,Petersen,9,True,1802700
129,Branching DFS Recursive,Petersen,10,True,2006300
130,Branching DFS Recursive,Petersen,1,False,378300
131,Branching DFS Recursive,Petersen,2,False,660600
132,Branching DFS Recursive,Petersen,3,False,2170000
133,Branching DFS Recursive,Petersen,4,False,7066100
134,Branching DFS Recursive,Petersen,5,False,14548700
135,Branching DFS Recursive,Petersen,6,True,7756800
136,Branching DFS Recursive,Petersen,7,True,3758800
137,Branching DFS Recursive,Petersen,8,True,2349900
138,Branching DFS Recursive,Petersen,9,True,2614800
139,Branching DFS Recursive,Petersen,10,True,2535000
140,Branching DFS Recursive,Petersen,1,False,937700
141,Branching DFS Recursive,Petersen,2,False,3057400
142,Branching DFS Recursive,Petersen,3,False,3587400
143,Branching DFS Recursive,Petersen,4,False,7185500
144,Branching DFS Recursive,Petersen,5,False,16370800
145,Branching DFS Recursive,Petersen,6,True,8763500
146,Branching DFS Recursive,Petersen,7,True,3602400
147,Branching DFS Recursive,Petersen,8,True,2256000
148,Branching DFS Recursive,Petersen,9,True,2417300
149,Branching DFS Recursive,Petersen,10,True,2517400
150,Branching DFS Recursive,Petersen,1,False,1101000
151,Branching DFS Recursive,Petersen,2,False,1995600
152,Branching DFS Recursive,Petersen,3,False,4325100
153,Branching DFS Recursive,Petersen,4,False,9481200
154,Branching DFS Recursive,Petersen,5,False,11404700
155,Branching DFS Recursive,Petersen,6,True,3869300
156,Branching DFS Recursive,Petersen,7,True,2943800
157,Branching DFS Recursive,Petersen,8,True,2375600
158,Branching DFS Recursive,Petersen,9,True,2627000
159,Branching DFS Recursive,Petersen,10,True,2357700
160,Branching DFS Recursive,Petersen,1,False,903900
161,Branching DFS Recursive,Petersen,2,False,2447800
162,Branching DFS Recursive,Petersen,3,False,4930100
163,Branching DFS Recursive,Petersen,4,False,9321600
164,Branching DFS Recursive,Petersen,5,False,16192400
165,Branching DFS Recursive,Petersen,6,True,7390600
166,Branching DFS Recursive,Petersen,7,True,3359400
167,Branching DFS Recursive,Petersen,8,True,2322700
168,Branching DFS Recursive,Petersen,9,True,2348600
169,Branching DFS Recursive,Petersen,10,True,2224100
170,Branching DFS Recursive,Petersen,1,False,897000
171,Branching DFS Recursive,Petersen,2,False,2363500
172,Branching DFS Recursive,Petersen,3,False,5016900
173,Branching DFS Recursive,Petersen,4,False,6049500
174,Branching DFS Recursive,Petersen,5,False,9050900
175,Branching DFS Recursive,Petersen,6,True,3854900
176,Branching DFS Recursive,Petersen,7,True,2030300
177,Branching DFS Recursive,Petersen,8,True,1267100
178,Branching DFS Recursive,Petersen,9,True,1071300
179,Branching DFS Recursive,Petersen,10,True,1234200
180,Branching DFS Recursive,Petersen,1,False,412900
181,Branching DFS Recursive,Petersen,2,False,1087300
182,Branching DFS Recursive,Petersen,3,False,4914800
183,Branching DFS Recursive,Petersen,4,False,6892800
184,Branching DFS Recursive,Petersen,5,False,11075000
185,Branching DFS Recursive,Petersen,6,True,6664300
186,Branching DFS Recursive,Petersen,7,True,3603900
187,Branching DFS Recursive,Petersen,8,True,1692100
188,Branching DFS Recursive,Petersen,9,True,1795200
189,Branching DFS Recursive,Petersen,10,True,1137200
190,Branching DFS Recursive,Petersen,1,False,404900
191,Branching DFS Recursive,Petersen,2,False,1411600
192,Branching DFS Recursive,Petersen,3,False,3115600
193,Branching DFS Recursive,Petersen,4,False,7143500
194,Branching DFS Recursive,Petersen,5,False,14968600
195,Branching DFS Recursive,Petersen,6,True,4564600
196,Branching DFS Recursive,Petersen,7,True,3385200
197,Branching DFS Recursive,Petersen,8,True,2350400
198,Branching DFS Recursive,Petersen,9,True,2349100
199,Branching DFS Recursive,Petersen,10,True,2436000
200,Branching DFS Recursive,Petersen,1,False,688400
201,Branching DFS Recursive,Petersen,2,False,1210200
202,Branching DFS Recursive,Petersen,3,False,2466200
203,Branching DFS Recursive,Petersen,4,False,7506500
204,Branching DFS Recursive,Petersen,5,False,13608300
205,Branching DFS Recursive,Petersen,6,True,6359100
206,Branching DFS Recursive,Petersen,7,True,3818700
207,Branching DFS Recursive,Petersen,8,True,2339100
208,Branching DFS Recursive,Petersen,9,True,2453400
209,Branching DFS Recursive,Petersen,10,True,2474900
210,Branching DFS Recursive,Petersen,1,False,904900
211,Branching DFS Recursive,Petersen,2,False,1863200
212,Branching DFS Recursive,Petersen,3,False,3892300
213,Branching DFS Recursive,Petersen,4,False,5424300
214,Branching DFS Recursive,Petersen,5,False,8627200
215,Branching DFS Recursive,Petersen,6,True,5897200
216,Branching DFS Recursive,Petersen,7,True,1517400
217,Branching DFS Recursive,Petersen,8,True,1082900
218,Branching DFS Recursive,Petersen,9,True,2216900
219,Branching DFS Recursive,Petersen,10,True,2302500
220,Branching DFS Recursive,Petersen,1,False,852800
221,Branching DFS Recursive,Petersen,2,False,2183200
222,Branching DFS Recursive,Petersen,3,False,5034700
223,Branching DFS Recursive,Petersen,4,False,8065500
224,Branching DFS Recursive,Petersen,5,False,16306700
225,Branching DFS Recursive,Petersen,6,True,6288300
226,Branching DFS Recursive,Petersen,7,True,2925600
227,Branching DFS Recursive,Petersen,8,True,2003600
228,Branching DFS Recursive,Petersen,9,True,1988400
229,Branching DFS Recursive,Petersen,10,True,2002700
230,Branching DFS Recursive,Petersen,1,False,836300
231,Branching DFS Recursive,Petersen,2,False,2044000
232,Branching DFS Recursive,Petersen,3,False,4550700
233,Branching DFS Recursive,Petersen,4,False,8124100
234,Branching DFS Recursive,Petersen,5,False,17033600
235,Branching DFS Recursive,Petersen,6,True,6489800
236,Branching DFS Recursive,Petersen,7,True,1738500
237,Branching DFS Recursive,Petersen,8,True,1155800
238,Branching DFS Recursive,Petersen,9,True,1344700
239,Branching DFS Recursive,Petersen,10,True,2240700
240,Branching DFS Recursive,Petersen,1,False,906900
241,Branching DFS Recursive,Petersen,2,False,2672100
242,Branching DFS Recursive,Petersen,3,False,2647900
243,Branching DFS Recursive,Petersen,4,False,7116800
244,Branching DFS Recursive,Petersen,5,False,16514700
245,Branching DFS Recursive,Petersen,6,True,6503900
246,Branching DFS Recursive,Petersen,7,True,1642600
247,Branching DFS Recursive,Petersen,8,True,1336600
248,Branching DFS Recursive,Petersen,9,True,1173900
249,Branching DFS Recursive,Petersen,10,True,1216600
250,Branching DFS Recursive,Petersen,1,False,397400
251,Branching DFS Recursive,Petersen,2,False,2309900
252,Branching DFS Recursive,Petersen,3,False,4978200
253,Branching DFS Recursive,Petersen,4,False,9146800
254,Branching DFS Recursive,Petersen,5,False,16148300
255,Branching DFS Recursive,Petersen,6,True,7422100
256,Branching DFS Recursive,Petersen,7,True,1971700
257,Branching DFS Recursive,Petersen,8,True,2330900
258,Branching DFS Recursive,Petersen,9,True,2488100
259,Branching DFS Recursive,Petersen,10,True,2394200
260,Branching DFS Recursive,Petersen,1,False,459600
261,Branching DFS Recursive,Petersen,2,False,1150100
262,Branching DFS Recursive,Petersen,3,False,2344100
263,Branching DFS Recursive,Petersen,4,False,5285600
264,Branching DFS Recursive,Petersen,5,False,13112700
265,Branching DFS Recursive,Petersen,6,True,4243000
266,Branching DFS Recursive,Petersen,7,True,1872400
267,Branching DFS Recursive,Petersen,8,True,1487400
268,Branching DFS Recursive,Petersen,9,True,1143500
269,Branching DFS Recursive,Petersen,10,True,1150700
270,Branching DFS Recursive,Petersen,1,False,488700
271,Branching DFS Recursive,Petersen,2,False,1137200
272,Branching DFS Recursive,Petersen,3,False,3253500
273,Branching DFS Recursive,Petersen,4,False,6104100
274,Branching DFS Recursive,Petersen,5,False,10114800
275,Branching DFS Recursive,Petersen,6,True,4367200
276,Branching DFS Recursive,Petersen,7,True,2177300
277,Branching DFS Recursive,Petersen,8,True,1609100
278,Branching DFS Recursive,Petersen,9,True,1515600
279,Branching DFS Recursive,Petersen,10,True,1330600
280,Branching DFS Recursive,Petersen,1,False,405500
281,Branching DFS Recursive,Petersen,2,False,1491200
282,Branching DFS Recursive,Petersen,3,False,2501200
283,Branching DFS Recursive,Petersen,4,False,4783100
284,Branching DFS Recursive,Petersen,5,False,16866700
285,Branching DFS Recursive,Petersen,6,True,7322300
286,Branching DFS Recursive,Petersen,7,True,3357500
287,Branching DFS Recursive,Petersen,8,True,2340300
288,Branching DFS Recursive,Petersen,9,True,2784600
289,Branching DFS Recursive,Petersen,10,True,1611800
290,Branching DFS Recursive,Petersen,1,False,951500
291,Branching DFS Recursive,Petersen,2,False,1871000
292,Branching DFS Recursive,Petersen,3,False,2573000
293,Branching DFS Recursive,Petersen,4,False,4842700
294,Branching DFS Recursive,Petersen,5,False,14160400
295,Branching DFS Recursive,Petersen,6,True,5195800
296,Branching DFS Recursive,Petersen,7,True,1685700
297,Branching DFS Recursive,Petersen,8,True,1888300
298,Branching DFS Recursive,Petersen,9,True,2523400
299,Branching DFS Recursive,Petersen,10,True,1786800
300,Branching DFS Recursive,Petersen,1,False,815800
301,Branching DFS Recursive,Petersen,2,False,2370500
302,Branching DFS Recursive,Petersen,3,False,5650400
303,Branching DFS Recursive,Petersen,4,False,6367900
304,Branching DFS Recursive,Petersen,5,False,15689300
305,Branching DFS Recursive,Petersen,6,True,6167200
306,Branching DFS Recursive,Petersen,7,True,3258200
307,Branching DFS Recursive,Petersen,8,True,2404300
308,Branching DFS Recursive,Petersen,9,True,2493600
309,Branching DFS Recursive,Petersen,10,True,2744800
310,Branching DFS Recursive,Petersen,1,False,892500
311,Branching DFS Recursive,Petersen,2,False,2533600
312,Branching DFS Recursive,Petersen,3,False,6105200
313,Branching DFS Recursive,Petersen,4,False,8962100
314,Branching DFS Recursive,Petersen,5,False,11134100
315,Branching DFS Recursive,Petersen,6,True,4867300
316,Branching DFS Recursive,Petersen,7,True,2047400
317,Branching DFS Recursive,Petersen,8,True,2525300
318,Branching DFS Recursive,Petersen,9,True,2340800
319,Branching DFS Recursive,Petersen,10,True,2337600
320,Branching DFS Recursive,Petersen,1,False,466600
